经典牛歌戏,#genre#
测试1,http://liyansheng.top/hls/demo.m3u8
二上花洲上,http://liyansheng.top/hls/二上花洲上.m3u8
紫盒金杯_1,http://liyansheng.top/hls/紫盒金杯_1.m3u8
紫盒金杯_2,http://liyansheng.top/hls/紫盒金杯_2.m3u8
公主抢亲_1,http://liyansheng.top/hls/公主抢亲_1.mp4
亮剑,#genre#
亮剑_1,https://vip.ffzy-play1.com/20230113/51806_72d20784/index.m3u8
亮剑_2,https://vip.ffzy-play1.com/20230113/51805_af533edb/index.m3u8
亮剑_3,https://vip.ffzy-play1.com/20230113/51807_0da1f48c/index.m3u8
亮剑_4,https://vip.ffzy-play1.com/20230113/51808_a7b33163/index.m3u8
亮剑_5,https://vip.ffzy-play1.com/20230113/51810_2431c74a/index.m3u8
亮剑_6,https://vip.ffzy-play1.com/20230113/51809_5ea2d77d/index.m3u8
亮剑_7,https://vip.ffzy-play1.com/20230113/51811_9de91146/index.m3u8
亮剑_8,https://vip.ffzy-play1.com/20230113/51813_6979dace/index.m3u8
亮剑_9,https://vip.ffzy-play1.com/20230113/51814_3a76dcf1/index.m3u8
亮剑_10,https://vip.ffzy-play1.com/20230113/51812_5d88f883/index.m3u8
亮剑_11,https://vip.ffzy-play1.com/20230113/51815_d5911146/index.m3u8
亮剑_12,https://vip.ffzy-play1.com/20230113/51817_15691c0c/index.m3u8
亮剑_13,https://vip.ffzy-play1.com/20230113/51816_75465ff8/index.m3u8
亮剑_14,https://vip.ffzy-play1.com/20230113/51818_accc32b6/index.m3u8
亮剑_15,https://vip.ffzy-play1.com/20230113/51820_125a3336/index.m3u8
亮剑_16,https://vip.ffzy-play1.com/20230113/51819_5e7a7ba3/index.m3u8
亮剑_17,https://vip.ffzy-play1.com/20230113/51823_9ec1a8a3/index.m3u8
亮剑_18,https://vip.ffzy-play1.com/20230113/51821_4c1ffef1/index.m3u8
亮剑_19,https://vip.ffzy-play1.com/20230113/51824_49ea57cc/index.m3u8
亮剑_20,https://vip.ffzy-play1.com/20230113/51822_d0b9b4f5/index.m3u8
亮剑_21,https://vip.ffzy-play1.com/20230113/51806_72d20784/index.m3u8
亮剑_22,https://vip.ffzy-play1.com/20230113/51805_af533edb/index.m3u8
亮剑_23,https://vip.ffzy-play1.com/20230113/51807_0da1f48c/index.m3u8
亮剑_24,https://vip.ffzy-play1.com/20230113/51808_a7b33163/index.m3u8
亮剑_25,https://vip.ffzy-play1.com/20230113/51810_2431c74a/index.m3u8
亮剑_26,https://vip.ffzy-play1.com/20230113/51809_5ea2d77d/index.m3u8
亮剑_27,https://vip.ffzy-play1.com/20230113/51811_9de91146/index.m3u8
亮剑_28,https://vip.ffzy-play1.com/20230113/51813_6979dace/index.m3u8
亮剑_29,https://vip.ffzy-play1.com/20230113/51814_3a76dcf1/index.m3u8
亮剑_30,https://vip.ffzy-play1.com/20230113/51812_5d88f883/index.m3u8

